side,state,name,sourceSheet,sourceRowNumber,siteID,targetRowNumber,reason
Spreadsheet 1 not spreadsheet 2,Arkansas,Village Creek SP,Arkansas,47,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Aliso and Wood Canyons Wilderness Park,California,356,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Almaden Quicksilver,California,333,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,American River Parkway,California,295,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Anderson Lake,California,334,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Anderson Marsh SP,California,183,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Antelope Valley California Poppy Reserve SNR,California,181,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Aqua Caliente Indian Reservation,California,296,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Arcarta Community Forest,California,297,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Arcata Marsh & Wildlife Sanctuary,California,298,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Auburn SRA,California,184,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Bay Model Visitor Center,California,149,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Bethany Reservoir SP,California,187,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Big Basin Redwoods SP,California,188,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Big Bear Discovery Center,California,299,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Black Diamond Mines Regional Preserve,California,300,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Bodie SHP,California,189,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Bothe Napa Valley State,California,190,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Butano SP,California,191,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Butterfield Overland Trail,California,372,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,California NHT,California,375,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,California State Capitol Park,California,192,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,California-Zephyr Amtrak,California,7,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,California's State Parks Joint Program,California,177,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Camarillo Grove Park,California,301,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Capitol Museum,California,196,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Carbon Canyon Regional Park,California,351,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Carnegie SVRA,California,198,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Castle Crags SP,California,199,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Castle Mountains NM,California,155,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Channel Islands NP,California,9,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,China Camp SP,California,204,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,City of Los Angeles,California,303,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,City of Mountain View,California,304,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,City of San Jose,California,305,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,City of Santa Maria - Los Flores Ranch Park,California,306,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,City of Windsor,California,308,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Cleveland NF,California,166,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Coyote Lake Harvey Bear Ranch,California,335,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Crystal Cove SP,California,205,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Cuyamaca Rancho SP,California,202,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,D.L Bliss SP,California,206,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Death Valley NP,California,21,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Dos Rios Branch SP,California,207,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Edgewood Park and Natural Preserve,California,313,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,El Capitan SP,California,211,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,El Mirage OHVA,California,156,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Elfin Forest RR,California,312,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Elk River Wildlife Sanctuary,California,314,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Emerald Bay SP,California,212,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Empire Mine SHS,California,213,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Eureka Waterfront,California,315,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Fish Lake,California,316,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Fitzgerald Marine Reserve,California,317,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Folsom Lake SRA,California,214,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Folsom Powerhouse SHP,California,215,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Fort Humboldt SHP,California,216,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Fort Ord NM,California,157,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Freshwater Farms Reserve,California,318,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,George Key Ranch Historic Park,California,354,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Golden Gate SP,California,218,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Gray Falls,California,319,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Half Moon Bay State Beach,California,221,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Hammond Coastal Trail,California,320,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Hearst San Simeon State Park,California,222,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Helena Modjeska Historic House and Gardens,California,361,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Hellyer,California,336,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Hendy Woods SP,California,224,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Henry Cowell SP,California,225,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Heritage Hill Historical Park,California,358,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Hollister Hills SVRA,California,226,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Humboldt Bay Aquatic Center,California,322,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Humboldt Coastal Nature Center,California,323,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Hungry Valley SVRA,California,229,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Indian Grinding Rock SHP,California,230,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Inyo NF,California,168,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Irvine Regional Park,California,362,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Jedidiah Smith Redwoods SP,California,231,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Johnson Valley Off-Highway Recreation Area,California,160,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Joseph D. Grant,California,337,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Juan Bautista de Anza NHT,California,378,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,King Range NCA,California,161,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Laguna Coast Wilderness Park,California,366,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Laguna Niguel Regional Park,California,359,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Lake Berryessa (Dufer Point Visitor Center),California,165,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Lake McClure and Lake McSwain,California,324,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Lake Oroville SP,California,234,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Lake Perris SRA,California,235,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Lake Piru RA,California,325,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Lava Beds NM,California,58,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Leo Carrillo SP,California,236,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Limekiln SP,California,237,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Los Encinos SHP,California,238,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Los Padres NF,California,171,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Malakoff Diggins SP,California,243,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Malibu Lagoon/Adamson House,California,242,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Marshall Gold Discovery SHP,California,240,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Martial Cottle,California,338,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,McArthur Burney Falls Memorial SP,California,244,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Memorial Park,California,326,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Mile Square Regional Park,California,368,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Montaña de Oro SP,California,250,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Mount Shasta Chamber of Commmerce,California,371,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Mount Tamalpais State Park,California,249,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Mt. Madonna,California,339,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Muir Woods NM,California,82,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Natural Bridges State Beach,California,251,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,New Brighton State Beach,California,252,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,O'Neill Regional Park,California,258,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,O'Neill Regional Park,California,364,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Oceano Dunes State Park,California,253,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Ocotillo Wells SVRA,California,327,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Old Orange County Courthouse,California,369,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Old Spanish NHT,California,382,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Old Town San Diego,California,348,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Old Town San Diego SHP,California,256,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Olompali SHP,California,257,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Onyx Ranch SVRA,California,259,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Pacific Southwest Region,California,172,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Palomar Mountain,California,260,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Patrick's Point SP,California,261,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Petaluma Adobe SHP,California,262,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Peters Canyon Regional Park,California,363,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Pigeon Point Light Station,California,265,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Point Mugu SP,California,267,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Pony Express NHT,California,385,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Port Chicago Naval Magazine NM,California,92,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Prairie City SVRA,California,164,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Prairie Creek Redwood SP,California,268,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Presidio of San Francisco,California,98,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Ralph B. Clark Regional Park,California,352,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Redwood NP and SP,California,99,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Ronald W. Caspers Wilderness Park,California,357,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Rosie the Riveter WW2 Home Front NHP,California,101,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Salt Point,California,274,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Salton Sea State NRA,California,275,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,San Diego County - William Heise County Park,California,328,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,San Francisco Bay NWR (Don Edwards),California,145,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,San Francisco Maritime NHP,California,107,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,San Luis NWR,California,143,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,San Luis Obispo,California,341,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,San Luis Reservoir State Recreation Area Romero Overlook Visitor Center,California,276,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,San Pedro Valley Park,California,329,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Santa Barbara County Parks,California,331,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Santa Clara County Parks,California,330,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Santa Rosa Plateau Ecological Reserve,California,117,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Santa Rosa Plateau Education Foundation,California,118,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Santiago Oaks Regional Park,California,365,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Seacliff Visitor Center & Park Store,California,282,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Sequoia National Forest,California,173,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Sequoia NP,California,119,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Sequoia Park,California,342,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Shasta SHP,California,283,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Shelter Cove,California,343,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Silverwood SRA,California,285,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Sonoma Coast County Parks,California,350,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Sonoma State Historic Park,California,286,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Stanislaus NF,California,174,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Stoneview Nature Center,California,349,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Sugarloaf Ridge SP,California,288,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Ted Craig Regional Park,California,353,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Thomas F. Riley Wilderness Park,California,360,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Tish Tang Campground,California,344,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Torrey Pines State Natural Reserve,California,290,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Tule Elk NR,California,292,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Tule Lake NM,California,122,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Upper Newport Bay Nature Preserve,California,370,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Vasona,California,340,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Wheeler Gorge,California,347,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Whiskeytown NRA,California,123,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,William B. Ide Adobe SHP,California,294,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,William R. Mason Regional Park,California,367,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Wunderlich Park,California,332,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,California,Yorba Regional Park,California,355,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Canada,Banff National Park — Lake Louise,Canada,93,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Canada,Birds Hill,Canada,85,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Canada,Blue Mountains Public Library,Canada,79,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Canada,"Club Parka is boklet for kids ages 3-5, but there is no reward for doing this booklet.",Canada,2,,,no-confident-match
